,subnational1,All Carbon Emissions,All Tree Emissions,Total Area (ha),Inactive,New,Renewed,Revoked,Valid,Agate licenses,Aggregates licenses,Alluminium licenses,Amethyst licenses,Anthracite licenses,Antimony licenses,Apatite licenses,Aplite licenses,Aquamarine licenses,Arsenic licenses,Barite licenses,Basalt licenses,Bauxite licenses,Bentonite licenses,Berthierite licenses,Beryl licenses,Beryllium licenses,Bismuth licenses,Bitumen licenses,Calcite licenses,Carnalite licenses,Cassiterite licenses,Cerium licenses,Chalcopyrite licenses,Chromite licenses,Chromium licenses,Clay licenses,Coal licenses,Cobalt licenses,Columbite licenses,Copper licenses,Corundum licenses,Diamond licenses,Dolomite licenses,Dolorite licenses,Emerald licenses,Feldspar licenses,Fluorite licenses,Fluorspar licenses,Galena licenses,Gemstones licenses,Gold licenses,Granite licenses,Graphite licenses,Gravel licenses,Gypsum licenses,Hematite licenses,Ilmenite licenses,Iron licenses,Iron Ore licenses,Kaolin licenses,Kunzite licenses,Lanthanum licenses,Lapidolite licenses,Laterite licenses,Lead licenses,Lignite licenses,Limestone licenses,Lithium licenses,Lutetium licenses,Manganese licenses,Marble licenses,Mica licenses,Moganite licenses,Molybdenum licenses,Monazite licenses,Morframite licenses,Muscovite licenses,Nickel licenses,Niobium licenses,Oxide licenses,Paladium licenses,Pegmatites licenses,Phosphate licenses,Platinum licenses,Potassium licenses,Pozzolan licenses,Pyrite licenses,Pyrolusite licenses,Quartz licenses,Quartzite licenses,Radioactive Elements licenses,Rubidium licenses,Ruby licenses,Rutile licenses,Sand licenses,Sandstone licenses,Sapphire licenses,Scandium licenses,Scheelite licenses,Serpentine licenses,Shale licenses,Silica licenses,Silicon licenses,Silver licenses,Spodumene licenses,Sulphur licenses,Talc licenses,Tantalite licenses,Tantalum licenses,Tar licenses,Tar Sand licenses,Tin licenses,Tin Ore licenses,Titanium licenses,Topaz licenses,Tourmaline licenses,Tungsten licenses,Uranium licenses,Vanadium licenses,Wolframite licenses,Yttrium licenses,Zinc licenses,Zircon licenses,fatalities,disorder_Demonstrations_x,disorder_Political violence_x,disorder_Political violence; Demonstrations_x,disorder_Strategic developments_x,event_Battles_x,event_Explosions/Remote violence_x,event_Protests_x,event_Riots_x,event_Strategic developments_x,event_Violence against civilians_x,govt_2011,govt_2013,govt_2014,govt_2015,govt_2016,govt_2017,govt_2018,govt_2019,govt_2020
0,Abia,42824,14974,169005,0,16,6,5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,0,0,1,2,0,0,0,0,15,7,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,324,97.0,84.0,6.0,8.0,17.0,1.0,89.0,23.0,8.0,57.0,4782182,2982924,39126089.74,15500914.0,56961197.15,15870000.0,31862778.0,20312106,22100329.87
1,Adamawa,2921,3321,2116765,0,93,2,29,189,1,0,2,7,0,0,0,0,2,0,15,0,0,0,0,5,1,0,0,0,1,2,0,0,0,0,2,2,0,6,24,0,18,0,0,0,2,9,2,0,3,43,3,4,0,6,0,0,0,0,0,0,0,0,1,25,0,4,5,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,15,0,0,0,3,0,0,10,0,0,0,9,1,0,0,6,0,0,4,20,0,0,0,0,0,20,7,3152,18.0,352.0,1.0,18.0,132.0,32.0,13.0,14.0,18.0,180.0,1870991,0,1410034.43,927168.0,60596918.36,16280000.0,4472324.05,7349113,14747155.5
2,Akwa Ibom,71326,28013,252606,0,6,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,250,92.0,109.0,0.0,8.0,26.0,2.0,65.0,46.0,8.0,62.0,3600913,25005265,14147481.41,7893810.0,61160040.76,0.0,24427830.0,24423902,22768596.8
3,Anambra,39714,19675,382984,0,20,6,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,57.0,78.0,0.0,2.0,23.0,0.0,47.0,21.0,2.0,44.0,727110,0,295743.18,5246000.0,60483397.17,3150000.0,9607470.0,21566998,20225002.0
4,Bauchi,23,0,2144977,0,278,12,79,674,0,1,0,11,0,0,0,0,5,1,10,0,3,0,0,15,13,0,0,2,0,49,0,2,0,0,1,1,0,153,60,4,0,2,0,0,3,4,3,0,3,64,10,0,0,4,0,3,9,12,10,1,0,0,1,121,0,4,7,0,5,0,1,0,0,13,0,1,0,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,8,13,0,2,0,0,0,0,2,0,21,0,0,0,9,12,0,0,164,0,0,8,29,5,0,0,7,0,115,12,494,53.0,125.0,0.0,9.0,40.0,23.0,38.0,36.0,9.0,41.0,3585202,1616915,8958786.16,6939410.0,72763553.22,9530000.0,38248547.94,45746966,27632135.12
5,Benue,2732,1567,2826436,0,99,4,8,269,0,1,2,2,0,0,0,0,1,0,20,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,19,11,0,4,12,0,0,0,0,0,0,11,3,0,0,5,7,0,2,4,0,3,11,2,3,0,2,0,5,93,0,24,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,0,0,11,2,0,3,0,0,0,1,0,0,0,4,0,0,1,1,0,0,0,0,0,86,2,2549,101.0,466.0,0.0,10.0,142.0,1.0,67.0,54.0,10.0,303.0,40898540,38179718,59554852.01,10570760.0,68220534.88,34540000.0,196834961.7,1543076,33989050.5
6,Borno,0,0,4418745,0,11,2,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,4,5,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,23062,9.0,2267.0,0.0,177.0,1280.0,404.0,4.0,11.0,177.0,577.0,214600,0,0.0,0.0,75578575.68,0.0,279000.0,1500000,430000.0
7,Cross River,1549,1469,263403,0,94,0,15,167,0,0,0,4,0,1,0,0,7,0,27,0,1,0,0,4,0,1,0,0,0,2,0,0,0,0,5,0,0,3,11,0,0,0,0,0,2,0,0,0,0,15,6,2,1,1,0,0,4,4,2,0,0,1,0,58,0,11,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,2,0,0,0,0,0,8,0,0,3,0,0,0,0,1,0,0,7,0,0,2,11,1,1,0,2,0,54,0,359,27.0,138.0,0.0,5.0,88.0,1.0,22.0,14.0,5.0,40.0,81055900,102520026,143280015.5,107393782.5,61170471.08,61000000.46,100494973.7,226736085,269945648.5
8,Delta,57187,3754,65986,0,8,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860,299.0,394.0,4.0,20.0,137.0,37.0,248.0,103.0,20.0,172.0,4308945,12088676,4415218.06,45275458.0,61765107.35,0.0,9192000.2,14210500,11872082.0
9,Ebonyi,3311,4985,585870,0,111,3,20,357,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,4,3,0,0,18,0,0,7,1,0,0,0,0,5,0,7,16,0,0,2,0,0,3,4,0,0,0,0,0,178,0,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,0,0,0,0,5,3,0,6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,176,0,141,15.0,82.0,0.0,3.0,30.0,1.0,14.0,10.0,3.0,42.0,25825250,36786270,66146600.3,48143284.0,54421963.67,35010000.0,238839227.6,150465038,200157851.0
